Objectid ;NR;Locatieomschrijving;Lopend_gemiddelde;Jaargemiddelde_2010 ;Jaargemiddelde_2011 ;Jaargemiddelde_2012 ;Jaargemiddelde_2013 ;Jaargemiddelde_2014 ;Jaargemiddelde_2015 ;Jaargemiddelde_2016 ;Jaargemiddelde_2017 ;Jaargemiddelde_2018 ;Jaargemiddelde_2019 ;Jaargemiddelde_2020 ;Jaargemiddelde_2021;Jaargemiddelde_2022;Jaargemiddelde_2023;Jaargemiddelde_2024;Jaargemiddelde_2025;Jaargemiddelde_2026;Jaargemiddelde_2027;Jaargemiddelde_2028;Jaargemiddelde_2029;Jaargemiddelde_2030;geo_shape;geo_point_2d
3557;37;Vestdijk 2d;19;0;0;0;0;0;38;39;37;31;24;19;21;22;0;0;0;;;;;;"{""coordinates"": [5.47939375781233, 51.44056985420932], ""type"": ""Point""}";51.44056985420932, 5.47939375781233
3524;4;Leenderweg (buiten Ring);21;38;42;38;37;38;34;34;33;32;30;24;24;24;0;0;0;;;;;;"{""coordinates"": [5.495383653580532, 51.42074504454155], ""type"": ""Point""}";51.42074504454155, 5.495383653580532
3536;16;Jeroen Boschlaan (Ring);22;45;41;39;37;37;34;33;35;32;31;24;26;25;0;0;0;;;;;;"{""coordinates"": [5.5044166312035205, 51.43925298478845], ""type"": ""Point""}";51.43925298478845, 5.5044166312035205
3546;26;Eijerven (Putten);10;20;21;19;18;17;16;16;17;15;14;11;11;11;0;0;0;;;;;;"{""coordinates"": [5.5136058553387075, 51.41808400929456], ""type"": ""Point""}";51.41808400929456, 5.5136058553387075
3530;10;Amstelstraat (Acht);12;26;24;23;22;20;19;19;19;18;18;13;14;14;0;0;0;;;;;;"{""coordinates"": [5.429781830102228, 51.481092501801726], ""type"": ""Point""}";51.481092501801726, 5.429781830102228
3521;1;Sterrenlaan;12;30;28;26;22;21;20;19;19;17;17;12;14;13;0;0;0;;;;;;"{""coordinates"": [5.491766691656577, 51.46724674207094], ""type"": ""Point""}";51.46724674207094, 5.491766691656577
3532;12;Rouenlaan (Achtse barrier);13;28;27;26;25;23;22;22;23;21;19;15;15;16;0;0;0;;;;;;"{""coordinates"": [5.446971284675929, 51.49281510890626], ""type"": ""Point""}";51.49281510890626, 5.446971284675929
3547;27;Grasland (Meerhoven);13;28;27;25;23;23;20;20;20;19;18;14;14;15;0;0;0;;;;;;"{""coordinates"": [5.416439551313597, 51.44006341235461], ""type"": ""Point""}";51.44006341235461, 5.416439551313597
3522;2;Leenderweg (binnen Ring);17;33;36;33;30;31;29;28;28;25;24;18;19;19;0;0;0;;;;;;"{""coordinates"": [5.491023539659272, 51.42530627897835], ""type"": ""Point""}";51.42530627897835, 5.491023539659272
3541;21;Vestdijk (binnenring);18;36;34;33;31;29;27;27;26;24;23;18;20;21;0;0;0;;;;;;"{""coordinates"": [5.481835284884376, 51.438851058544614], ""type"": ""Point""}";51.438851058544614, 5.481835284884376
3550;30;Noordbrabantlaan (RIVM meetpunt);18;38;38;35;34;33;31;30;29;26;25;19;21;20;0;0;0;;;;;;"{""coordinates"": [5.444764319103526, 51.44419659551281], ""type"": ""Point""}";51.44419659551281, 5.444764319103526
3537;17;Leostraat (Ring);19;38;35;33;32;31;29;28;28;27;24;20;21;21;0;0;0;;;;;;"{""coordinates"": [5.491293604171709, 51.42393975803498], ""type"": ""Point""}";51.42393975803498, 5.491293604171709
3543;23;Mauritsstraat (westtangent);19;38;32;31;29;32;27;29;30;29;28;21;23;22;0;0;0;;;;;;"{""coordinates"": [5.471013622953916, 51.43551556702005], ""type"": ""Point""}";51.43551556702005, 5.471013622953916
3534;14;Botenlaan (Ring);20;40;38;37;34;34;33;32;31;29;28;22;23;22;0;0;0;;;;;;"{""coordinates"": [5.45131435313653, 51.437730314480035], ""type"": ""Point""}";51.437730314480035, 5.45131435313653
3529;9;Eisenhouwerlaan;24;37;38;38;35;36;33;32;33;30;30;25;25;25;0;0;0;;;;;;"{""coordinates"": [5.5203237251976285, 51.45404922041589], ""type"": ""Point""}";51.45404922041589, 5.5203237251976285
3555;35;John F. Kennedylaan B;24;0;40;42;38;39;36;34;37;31;33;25;27;25;0;0;0;;;;;;"{""coordinates"": [5.485939924395987, 51.45475759110215], ""type"": ""Point""}";51.45475759110215, 5.485939924395987
3526;6;Kennedylaan;33;50;53;54;48;47;46;44;48;43;42;33;35;35;0;0;0;;;;;;"{""coordinates"": [5.4858393489654285, 51.45482059698455], ""type"": ""Point""}";51.45482059698455, 5.4858393489654285
